month,order_date,order_num,quantity,order_status,sup_name,reseller_state,gst_amount,end_customer_state,gst_rate,meesho_price,net_commission,commission_gst,shipping_charges_total,gst,taxable_shipping,shipping_gst_18_percent,tcs_taxable_amount,end_customer_state_new,financial_year,supplier_id,AMT
null,10/3/2024,732292,1,Cancelled,Streets Shopping,Gujarat,0,Gujarat,5,0,0,0,0,0,-17.14285714,-3.085714286,0,GUJARAT,2025,1014070,0
2/1/2025,2/23/2025,125298,1,Delivered,Streets Shopping,West Bengal,11.66666667,West Bengal,5,245,0,0,0,1.05,55.23809524,9.942857143,233.3333333,WEST BENGAL,2025,1014070,233.3333333
2/1/2025,2/6/2025,118918,1,Return,Streets Shopping,West Bengal,13.66666667,West Bengal,5,287,0,0,0,1.05,61.9047619,11.14285714,273.3333333,WEST BENGAL,2025,1014070,273.3333333
2/1/2025,2/13/2025,121491,1,Delivered,Streets Shopping,Gujarat,11.42857143,Gujarat,5,240,0,0,0,1.05,55.23809524,9.942857143,228.5714286,WEST BENGAL,2025,1014070,228.5714286
2/1/2025,2/17/2025,123073,1,Delivered,Streets Shopping,West Bengal,11.85714286,West Bengal,5,249,0,0,0,1.05,40.95238095,7.371428571,220.952381,WEST BENGAL,2025,1014070,220.952381
2/1/2025,2/24/2025,125589,1,Delivered,Streets Shopping,Bihar,11.23809524,Bihar,5,236,0,0,0,1.05,38.0952381,6.857142857,207.6190476,BIHAR,2025,1014070,207.6190476
null,2/28/2025,126997,1,Cancelled,Streets Shopping,West Bengal,11.66666667,West Bengal,5,245,0,0,0,1.05,55.23809524,9.942857143,233.3333333,WEST BENGAL,2025,1014070,233.3333333
2/1/2025,2/23/2025,125282,1,Delivered,Streets Shopping,Gujarat,11.80952381,Gujarat,5,248,0,0,0,1.05,40.95238095,7.371428571,219.047619,GUJARAT,2025,1014070,219.047619
null,9/3/2024,624278,1,Cancelled,Streets Shopping,Rajasthan,0,Rajasthan,5,0,0,0,0,0,-23.80952381,-4.285714286,0,RAJASTHAN,2025,1014070,0
2/1/2025,2/5/2025,118607,1,Return,Streets Shopping,Maharashtra,11.76190476,Maharashtra,5,247,0,0,0,1.05,38.0952381,6.857142857,218.0952381,MAHARASHTRA,2025,1014070,218.0952381
2/1/2025,2/21/2025,124327,1,Delivered,Streets Shopping,Rajasthan,11.80952381,Rajasthan,5,248,0,0,0,1.05,34.28571429,6.171428571,212.3809524,RAJASTHAN,2025,1014070,212.3809524
2/1/2025,2/9/2025,120080,1,rto,Streets Shopping,Odisha,12.38095238,Odisha,5,260,0,0,0,1.05,55.23809524,9.942857143,247.6190476,ODISHA,2025,1014070,247.6190476
2/1/2025,2/11/2025,120875,1,Return,Streets Shopping,Haryana,11.9047619,Haryana,5,250,0,0,0,1.05,45.71428571,8.228571429,223.8095238,HARYANA,2025,1014070,223.8095238
2/1/2025,2/13/2025,121326,1,Return,Streets Shopping,Karnataka,12.04761905,Karnataka,5,253,0,0,0,1.05,52.38095238,9.428571429,230.4761905,KARNATAKA,2025,1014070,230.4761905
2/1/2025,2/16/2025,122569,1,Delivered,Streets Shopping,Chhattisgarh,11.66666667,Chhattisgarh,5,245,0,0,0,1.05,38.0952381,6.857142857,216.1904762,CHHATTISGARH,2025,1014070,216.1904762
2/1/2025,2/6/2025,119089,1,Delivered,Streets Shopping,Delhi,12.85714286,Delhi,5,270,0,0,0,1.05,45.71428571,8.228571429,242.8571429,DELHI,2025,1014070,242.8571429
2/1/2025,2/17/2025,122771,1,Delivered,Streets Shopping,Madhya Pradesh,11.9047619,Madhya Pradesh,5,250,0,0,0,1.05,60,10.8,238.0952381,MADHYA PRADESH,2025,1014070,238.0952381
2/1/2025,2/16/2025,122738,1,Delivered,Streets Shopping,West Bengal,12.04761905,West Bengal,5,253,0,0,0,1.05,62.85714286,11.31428571,240.952381,WEST BENGAL,2025,1014070,240.952381
null,10/3/2024,732553,1,Cancelled,Streets Shopping,Punjab,0,Punjab,5,0,0,0,0,0,-10.47619048,-1.885714286,0,PUNJAB,2025,1014070,0
2/1/2025,2/1/2025,117264,1,Delivered,Streets Shopping,Chhattisgarh,16.33333333,Chhattisgarh,5,343,0,0,0,1.05,38.0952381,6.857142857,309.5238095,CHHATTISGARH,2025,1014070,309.5238095
2/1/2025,2/2/2025,117652,1,Delivered,Streets Shopping,Bihar,10.28571429,Bihar,5,216,0,0,0,1.05,45.71428571,8.228571429,196.1904762,BIHAR,2025,1014070,196.1904762
null,11/26/2024,930308,1,Cancelled,Streets Shopping,Karnataka,0,Karnataka,5,0,0,0,0,0,-20,-3.6,0,KARNATAKA,2025,1014070,0
null,10/26/2024,817178,1,Cancelled,Streets Shopping,Uttar Pradesh,0,Uttar Pradesh,5,0,0,0,0,0,-8.571428571,-1.542857143,0,UTTAR PRADESH,2025,1014070,0
null,9/7/2024,640520,1,Cancelled,Streets Shopping,Kerala,0,Kerala,5,0,0,0,0,0,-17.14285714,-3.085714286,0,KERALA,2025,1014070,0
2/1/2025,2/9/2025,120043,1,Delivered,Streets Shopping,Bihar,15,Bihar,5,315,0,0,0,1.05,55.23809524,9.942857143,300,BIHAR,2025,1014070,300
null,11/13/2024,883055,1,Cancelled,Streets Shopping,Delhi,0,Delhi,5,0,0,0,0,0,-17.14285714,-3.085714286,0,DELHI,2025,1014070,0
2/1/2025,2/13/2025,121486,1,Delivered,Streets Shopping,Telangana,11.85714286,Telangana,5,249,0,0,0,1.05,57.14285714,10.28571429,237.1428571,TELANGANA,2025,1014070,237.1428571
2/1/2025,2/5/2025,118673,1,Delivered,Streets Shopping,Karnataka,11.42857143,Karnataka,5,240,0,0,0,1.05,55.23809524,9.942857143,228.5714286,KARNATAKA,2025,1014070,228.5714286
null,11/13/2024,882724,1,Cancelled,Streets Shopping,Bihar,0,Bihar,5,0,0,0,0,0,-17.14285714,-3.085714286,0,BIHAR,2025,1014070,0
null,2/9/2025,120147,1,Cancelled,Streets Shopping,Maharashtra,12.38095238,Maharashtra,5,260,0,0,0,1.05,55.23809524,9.942857143,247.6190476,MAHARASHTRA,2025,1014070,247.6190476
2/1/2025,2/19/2025,123677,1,Delivered,Streets Shopping,Maharashtra,17.42857143,Maharashtra,5,366,0,0,0,1.05,60.95238095,10.97142857,345.7142857,MAHARASHTRA,2025,1014070,345.7142857
2/1/2025,2/8/2025,119681,1,Delivered,Streets Shopping,West Bengal,11.71428571,West Bengal,5,246,0,0,0,1.05,54.28571429,9.771428571,234.2857143,WEST BENGAL,2025,1014070,234.2857143
2/1/2025,2/14/2025,121972,1,Exchange,Streets Shopping,Uttar Pradesh,11.9047619,Uttar Pradesh,5,250,0,0,0,1.05,49.52380952,8.914285714,227.6190476,UTTAR PRADESH,2025,1014070,227.6190476
2/1/2025,2/12/2025,121155,1,Return,Streets Shopping,West Bengal,11.95238095,West Bengal,5,251,0,0,0,1.05,62.85714286,11.31428571,239.047619,WEST BENGAL,2025,1014070,239.047619
2/1/2025,2/11/2025,120822,1,Delivered,Streets Shopping,Maharashtra,12.04761905,Maharashtra,5,253,0,0,0,1.05,62.85714286,11.31428571,240.952381,MAHARASHTRA,2025,1014070,240.952381
